word,transcription,definition,level,categories,raw
eye,/aɪ/,"each of a pair of globular organs in the head through which people and vertebrate animals see.",A1,"Body Parts;Nouns",
face,/feɪs/,"the front part of a person's head from the forehead to the chin.",A1,"Body Parts;Appearance;Nouns",
fact,/fækt/,"a thing that is known or proved to be true.",A1,"Nouns;Data",
fall,/fɔːl/,"to move downwards, typically rapidly and freely without control, from a higher to a lower level.",A1,"Verbs;Movement",
false,/fɔːls/,"not according with truth or fact; incorrect.",A1,"Adjectives;General",
family,/ˈfæm.əl.i/,"a group consisting of parents and children living together as a unit.",A1,"Family;People;Nouns",
famous,/ˈfeɪ.məs/,"known about by many people.",A1,"Adjectives;Society;People",
fantastic,/fænˈtæs.tɪk/,"extraordinarily good or attractive.",A1,"Adjectives;Feelings",
far,/fɑːr/,"at, to, or by a great distance.",A1,"Adverbs;Geography",
farm,/fɑːm/,"an area of land and its buildings, used for growing crops and rearing animals.",A1,"Farming;Places;Nouns",
farmer,/ˈfɑː.mər/,"a person who owns or manages a farm.",A1,"Professions;Farming;People",
fast,/fɑːst/,"moving or capable of moving at high speed.",A1,"Adjectives;Adverbs;Movement",
fat,/fæt/,"(of a person or animal) having a large amount of excess flesh.",A1,"Adjectives;Appearance;Body Parts",
father,/ˈfɑː.ðər/,"a man in relation to his natural child or children.",A1,"Family;People;Nouns",
favourite,/ˈfeɪ.vər.ɪt/,"preferred to all others of the same kind.",A1,"Adjectives;Feelings",
feel,/fiːl/,"to experience an emotion or sensation.",A1,"Verbs;Feelings",
feeling,/ˈfiː.lɪŋ/,"an emotional state or reaction.",A1,"Nouns;Feelings",
festival,/ˈfes.tɪ.vəl/,"a day or period of celebration, typically for religious reasons.",A1,"Events;Society;Nouns",
few,/fjuː/,"a small number of.",A1,"Determiners;Grammar",
fifteen,/ˌfɪfˈtiːn/,"the number equivalent to the sum of ten and five; one more than fourteen.",A1,"Math;Nouns",
fifth,/fɪfθ/,"constituting number five in a sequence; 5th.",A1,"Math;Nouns",
fifty,/ˈfɪf.ti/,"the number equivalent to the product of five and ten; half of one hundred.",A1,"Math;Nouns",
fill,/fɪl/,"to cause a space or container to become full or almost full.",A1,"Verbs;Actions",
film,/fɪlm/,"a story or event recorded by a camera as a set of moving images and shown in a cinema or on television; a movie.",A1,"Media;Leisure;Nouns",
final,/ˈfaɪ.nəl/,"coming at the end of a series.",A1,"Adjectives;General",
find,/faɪnd/,"to discover someone or something unexpectedly or by searching.",A1,"Verbs;Actions",
fine,/faɪn/,"of high quality; good.",A1,"Adjectives;Feelings",
finish,/ˈfɪn.ɪʃ/,"to bring a task or activity to an end; complete.",A1,"Verbs;Actions",
fire,/faɪər/,"combustion or burning, in which substances combine chemically with oxygen from the air and typically give out bright light, heat, and smoke.",A1,"Nature;Nouns",
first,/fɜːst/,"coming before all others in time or order; 1st.",A1,"Math;Determiners;Nouns",
fish,/fɪʃ/,"a limbless cold-blooded vertebrate animal with gills and fins living wholly in water.",A1,"Animals;Food;Nouns",
five,/faɪv/,"the number equivalent to the sum of two and three; one more than four.",A1,"Math;Nouns",
flat,/flæt/,"a set of rooms forming an individual residence, typically on one floor and within a larger building.",A1,"Places;House;Nouns",
flight,/flaɪt/,"the action or process of flying through the air.",A1,"Travel;Transport;Nouns",
floor,/flɔːr/,"the lower surface of a room, on which one may walk.",A1,"House;Objects;Nouns",
flower,/ˈflaʊ.ər/,"the seed-bearing part of a plant, consisting of reproductive organs that are typically surrounded by a brightly coloured corolla.",A1,"Plants;Nature;Nouns",
fly,/flaɪ/,"to move through the air using wings.",A1,"Verbs;Movement;Transport",
follow,/ˈfɒl.əʊ/,"to go or come after a person or thing proceeding in front.",A1,"Verbs;Movement",
food,/fuːd/,"any nutritious substance that people or animals eat or drink in order to maintain life and growth.",A1,"Food;Nouns",
foot,/fʊt/,"the part of the body at the bottom of the leg on which a person stands.",A1,"Body Parts;Nouns",
football,/ˈfʊt.bɔːl/,"a game played by two teams of eleven players with a round ball that may not be touched with the hands or arms during play except by the goalkeepers.",A1,"Sports;Hobbies;Nouns",
for,/fɔːr/,"indicating the purpose or reason for an action or activity.",A1,"Prepositions;Grammar",
forget,/fəˈɡet/,"to fail to remember.",A1,"Verbs;General",
form,/fɔːm/,"the visible shape or configuration of something.",A1,"Nouns;General;Writing",
forty,/ˈfɔː.ti/,"the number equivalent to the product of four and ten; four times ten.",A1,"Math;Nouns",
four,/fɔːr/,"the number equivalent to the sum of three and one; one more than three.",A1,"Math;Nouns",
fourteen,/ˌfɔːˈtiːn/,"the number equivalent to the sum of ten and four; one more than thirteen.",A1,"Math;Nouns",
fourth,/fɔːθ/,"constituting number four in a sequence; 4th.",A1,"Math;Nouns",
free,/friː/,"able to act or be done as one wishes; not under the control of another.",A1,"Adjectives;General",
friend,/frend/,"a person whom one knows and with whom one has a bond of mutual affection.",A1,"People;Relationships;Nouns",
friendly,/ˈfrend.li/,"kind and pleasant.",A1,"Adjectives;Feelings;Relationships",
from,/frɒm/,"indicating the point in space at which a journey, motion, or action starts.",A1,"Prepositions;Grammar",
fruit,/fruːt/,"the sweet, fleshy product of a tree or other plant that contains seed and can be eaten as food.",A1,"Food;Plants;Nouns",
full,/fʊl/,"containing or holding as much or as many as possible; having no empty space.",A1,"Adjectives;General",
fun,/fʌn/,"enjoyment, amusement, or light-hearted pleasure.",A1,"Nouns;Feelings;Leisure",
funny,/ˈfʌn.i/,"causing laughter or amusement; humorous.",A1,"Adjectives;Feelings;Communication",
future,/ˈfjuː.tʃər/,"the time or a period of time following the moment of speaking or writing; time regarded as still to come.",A1,"Time;Nouns",
game,/ɡeɪm/,"an activity that one engages in for amusement or fun.",A1,"Sports;Hobbies;Leisure",
garden,/ˈɡɑː.dən/,"a piece of ground, often near a house, used for growing flowers, fruit, or vegetables.",A1,"Places;House;Nature",
geography,/dʒiˈɒɡ.rə.fi/,"the study of the physical features of the earth and its atmosphere.",A1,"Education;Geography;Nouns",
get,/ɡet/,"to receive, obtain, or buy something.",A1,"Verbs;Actions",
girl,/ɡɜːl/,"a female child.",A1,"People;Nouns",
girlfriend,/ˈɡɜːl.frend/,"a person's regular female romantic or sexual partner.",A1,"People;Relationships;Nouns",
give,/ɡɪv/,"to freely transfer the possession of something to someone.",A1,"Verbs;Actions",
glass,/ɡlɑːs/,"a hard, brittle substance, typically transparent or translucent, made by fusing sand with soda and lime.",A1,"Objects;Containers;Nouns",
go,/ɡəʊ/,"to move from one place to another; travel.",A1,"Verbs;Movement",
good,/ɡʊd/,"to be desired or approved of; of high quality.",A1,"Adjectives;Feelings",
goodbye,/ˌɡʊdˈbaɪ/,"an expression used to say farewell when you or the other person is leaving.",A1,"Interjections;Phrases",
grandfather,/ˈɡræn.fɑː.ðər/,"the father of one's father or mother.",A1,"Family;People;Nouns",
grandmother,/ˈɡræn.mʌð.ər/,"the mother of one's father or mother.",A1,"Family;People;Nouns",
grandparent,/ˈɡræn.peə.rənt/,"a parent of one's father or mother.",A1,"Family;People;Nouns",
great,/ɡreɪt/,"of an extent, amount, or intensity considerably above the normal or average; very good.",A1,"Adjectives;Feelings",
green,/ɡriːn/,"the color between blue and yellow in the spectrum; a primary subtractive color.",A1,"Colors;Adjectives;Nouns",
grey,/ɡreɪ/,"the color intermediate between black and white.",A1,"Colors;Adjectives;Nouns",
group,/ɡruːp/,"a number of people or things that are located, gathered, or classed together.",A1,"Groups;Nouns",
grow,/ɡrəʊ/,"(of a living thing) to undergo natural development by increasing in size and changing physically.",A1,"Verbs;Nature;Actions",
guess,/ɡes/,"to estimate or suppose (something) without sufficient information to be sure of being correct.",A1,"Verbs;Communication",
guitar,/ɡɪˈtɑːr/,"a stringed musical instrument with a fretted fingerboard, typically incurved sides, and six or twelve strings, played by plucking or strumming.",A1,"Music;Objects;Hobbies",
gym,/dʒɪm/,"a gymnasium; a place equipped for gymnastics, games, and other physical exercise.",A1,"Places;Sports;Health",
hair,/heər/,"any of the fine threadlike strands growing from the skin of humans, mammals, and some other animals.",A1,"Body Parts;Appearance;Nouns",
half,/hɑːf/,"either of two equal or corresponding parts into which something is or can be divided.",A1,"Math;Nouns",
hand,/hænd/,"the end part of a person's arm beyond the wrist, including the palm, fingers, and thumb.",A1,"Body Parts;Nouns",
happen,/ˈhæp.ən/,"to take place; occur.",A1,"Verbs;General",
happy,/ˈhæp.i/,"feeling or showing pleasure or contentment.",A1,"Adjectives;Feelings",
hard,/hɑːd/,"solid, firm, and rigid; not easily broken, bent, or pierced.",A1,"Adjectives;General",
hat,/hæt/,"a shaped covering for the head worn for warmth, as a fashion item, or as part of a uniform.",A1,"Clothing;Objects;Nouns",
hate,/heɪt/,"to feel intense or passionate dislike for someone or something.",A1,"Verbs;Feelings",
have,/hæv/,"to possess, own, or hold.",A1,"Verbs;Grammar",
he,/hiː/,"used to refer to a man, boy, or male animal previously mentioned or easily identified.",A1,"Pronouns;Grammar",
head,/hed/,"the upper part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck.",A1,"Body Parts;Nouns",
health,/helθ/,"the state of being free from illness or injury.",A1,"Health;Nouns",
healthy,/ˈhel.θi/,"in a good physical or mental condition; in good health.",A1,"Adjectives;Health",
hear,/hɪər/,"to perceive with the ear the sound made by someone or something.",A1,"Verbs;Actions",
hello,/həˈləʊ/,"used as a greeting or to begin a telephone conversation.",A1,"Interjections;Phrases",
help,/help/,"to make it easier or possible for someone to do something by offering one's services or resources.",A1,"Verbs;Actions",
her,/hɜːr/,"used as the object of a verb or preposition to refer to a female person or animal previously mentioned.",A1,"Pronouns;Grammar",
here,/hɪər/,"in, at, or to this place or position.",A1,"Adverbs;Places",
hey,/heɪ/,"used to attract attention, to express surprise, interest, or annoyance, or as a greeting.",A1,"Interjections;Phrases",
hi,/haɪ/,"used as a friendly greeting.",A1,"Interjections;Phrases",
high,/haɪ/,"of great vertical extent.",A1,"Adjectives;Size",
him,/hɪm/,"used as the object of a verb or preposition to refer to a male person or animal previously mentioned.",A1,"Pronouns;Grammar",
his,/hɪz/,"belonging to or associated with a male person or animal previously mentioned.",A1,"Determiners;Grammar",
history,/ˈhɪs.tər.i/,"the study of past events, particularly in human affairs.",A1,"Education;Nouns",
hobby,/ˈhɒb.i/,"an activity done regularly in one's leisure time for pleasure.",A1,"Hobbies;Leisure;Nouns",
holiday,/ˈhɒl.ɪ.deɪ/,"an extended period of leisure and recreation, especially one spent away from home or in travelling.",A1,"Time;Leisure;Events",
home,/həʊm/,"the place where one lives permanently, especially as a member of a family or household.",A1,"Places;House;Nouns",
homework,/ˈhəʊm.wɜːk/,"schoolwork that a student is required to do at home.",A1,"Education;Work;Nouns",
hope,/həʊp/,"to want something to happen or be true, and usually have a good reason to think that it might.",A1,"Verbs;Feelings",
horse,/hɔːs/,"a large plant-eating domesticated mammal with solid hoofs and a flowing mane and tail, used for riding, racing, and to carry and pull loads.",A1,"Animals;Farming;Nouns",
hospital,/ˈhɒs.pɪ.təl/,"an institution providing medical and surgical treatment and nursing care for sick or injured people.",A1,"Places;Health;Nouns",
hot,/hɒt/,"having a high degree of heat or a high temperature.",A1,"Adjectives;Weather;Food",
hotel,/həʊˈtel/,"an establishment providing accommodation, meals, and other services for travellers and tourists.",A1,"Places;Travel;Nouns",
hour,/ˈaʊər/,"a period of time equal to a twenty-fourth part of a day and night and divided into 60 minutes.",A1,"Time;Nouns",
house,/haʊs/,"a building for human habitation, especially one that is lived in by a family or small group of people.",A1,"House;Places;Nouns",
how,/haʊ/,"in what way or manner; by what means.",A1,"Adverbs;Grammar",
however,/haʊˈev.ər/,"used to introduce a statement that contrasts with or seems to contradict something that has been said previously.",A1,"Adverbs;Conjunctions;Grammar",
hundred,/ˈhʌn.drəd/,"the number equivalent to the product of ten and ten; ten more than ninety.",A1,"Math;Nouns",
hungry,/ˈhʌŋ.ɡri/,"feeling or displaying the need for food.",A1,"Adjectives;Feelings;Health",
husband,/ˈhʌz.bənd/,"a married man in relation to his wife.",A1,"Family;People;Nouns",
ice cream,/ˌaɪs ˈkriːm/,"a soft, sweet frozen food made with milk and cream.",A1,"Food;Desserts;Nouns",
idea,/aɪˈdɪə/,"a thought or suggestion as to a possible course of action.",A1,"Nouns;Communication",
if,/ɪf/,"introducing a conditional clause.",A1,"Conjunctions;Grammar",
imagine,/ɪˈmædʒ.ɪn/,"to form a mental image or concept of.",A1,"Verbs;General",
important,/ɪmˈpɔː.tənt/,"of great significance or value.",A1,"Adjectives;General",
improve,/ɪmˈpruːv/,"to make or become better.",A1,"Verbs;Actions",
in,/ɪn/,"expressing the situation of something that is or appears to be enclosed or surrounded by something else.",A1,"Prepositions;Grammar",
include,/ɪnˈkluːd/,"to comprise or contain as part of a whole.",A1,"Verbs;General",
information,/ˌɪn.fəˈmeɪ.ʃən/,"facts provided or learned about something or someone.",A1,"Data;Communication;Nouns",
interest,/ˈɪn.trəst/,"the feeling of wanting to know or learn about something or someone.",A1,"Nouns;Feelings",
interested,/ˈɪn.trə.stɪd/,"showing curiosity or concern about something or someone.",A1,"Adjectives;Feelings",
